country,university,major,level,annual_fee,currency,notes,
إيران,جامعة إصفهان التكنولوجية,الكيمياء -الكيمياء,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الرياضيات -اجلب,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الطوبولوجيا,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الفيزياء -اجلسيمات,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الفيزياء -فيزياء املادة,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الفيزياء -الفيزياء النووية,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الهندسة الكهربائية,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,اتصاالت -أنظمة,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الاتصالات -المجال,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,التحكم,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الهندسة المدنية -اجليو,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الهندسة المدنية -هندسة,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الهندسة المدنية -النقل مهندسی عمران -محل و نقل,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الهندسة الميكانيكية -البناء مهندسی مکانيک -ساخت و,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,التصميم التطبيقي,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,حتويل الطاقة,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,هندسة التعدين -اكتشاف,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,هندسة التعدين -معاجلة,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,هندسة التعدين -ميكانيكا,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,هندسة التعدين -استخراج,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الهندسة الطبية -املواد,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الهندسة الصناعية -حتسني,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,هندسة الكمبيوتر,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,هندسة احلاسوب -الذكاء,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,االصطناعي,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,تكنولوجيا النانو -املواد,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,هندسة النسيج,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,هندسة النسيج -الكيمياء,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,املقطع التعليمي,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الغذائية – تكنولوجيا,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,إدارة الخصوبة والتكنولوجيا,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الحيوية للرتبة – الكيمياء,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,ومحاية التربة,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,إدارة موارد التربة -موارد,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,والصرف,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,علم احليوان -تغذية,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,اصالح دام و طيور,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الوراثة وتربية النبااتت,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,التكنولوجيا الزراعية,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,التكنولوجيا الحيوية الزراعية,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,علوم و مهندسی شيالت,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,احليواانت املائية,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,املياه -محاية املياه والتربة,دكتوراه,2000,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,تدريس اللغة الإنجليزية,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الكيمياء -الكيمياء,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الكيمياء -الكيمياء المعدنية,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,كيمياء النانو,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الفيزياء -فيزياء املادة,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الفيزياء -الفيزياء النووية,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الفيزياء -اجلسيمات,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الفيزياء -الفيزياء,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,اإلحصاءات الاقتصادية,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,التحليل,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الهندسة (الطوبولوجيا),ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,التحليل العددي,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,التحسني,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,املعادالت التفاضلية,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,املرور والرمز,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,البياانت,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الهندسة الكهربائية -الدوائر مهندسی برق -مدارهای,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الهندسة الكهربائية -أنظمة,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,إلكرتونيات القوى واآلالت,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الاتصالات -المجال,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,هندسة كهرابئية -اتصاالت,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الهندسة الكهربائية,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الهندسة الطبية -الكهرابء,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,املقطع التعليمي,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,هندسة النفط -اخلزاانت,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,هندسة البوليمرات,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الهندسة الكيميائية,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الهندسة الكيميائية -تصميم,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الهندسة الصناعية -طرق,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الهندسة الصناعية -منذجة,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,اخلدمات اللوجستية وسلسلة,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,اهلندسية -التعليم,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الهندسة المدنية -اهليكل,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الهندسة المدنية -اجليوثقانية,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الهندسة المدنية -هندسة,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الهندسة المدنية -النقل,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,البيئية,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الهندسة الميكانيكية -البناء,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,التصميم التطبيقي,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الطاقة,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,هندسة التعدين -معاجلة,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,هندسة التعدين -ميكانيكا,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,هندسة التعدين -استخراج,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,هندسة التعدين -اكتشاف,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,هندسة املواد -حتديد,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,هندسة املواد -استخراج,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,هندسة املواد -التأكل,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,هندسة املواد -اللحام,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الهندسة الطبية -املواد,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,هندسة الكمبيوتر -احلوسبة,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,هندسة احلاسوب -الذكاء,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,االصطناعي والروبواتت,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,هندسة احلاسوب -هندسة,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,البجميات,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,هندسة النسيج -األلياف,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,هندسة النسيج -املالبس,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,هندسة النسيج -كيمياء,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,هندسة النسيج -تكنولوجيا,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,املياه -الفيضاانت واألهنار,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,إدارة املراعي,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,والصرف,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,سازههای آبی,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,منابع آب,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الوراثة وتربية النبااتت,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,التكنولوجيا الزراعية,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,نبااتت الزينة,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,توليد حمصوالت,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الحيوية للرتبة -الكيمياء,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,إدارة الخصوبة والتكنولوجيا,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,إدارة موارد التربة -الفيزياء,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,إدارة موارد التربة -موارد,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,اصالح دام و طيور,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الثروة احليوانية والدواجن,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,الدواجن,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,علوم و مهندسی شيالت,ماجستير,1500,دولار,سنوي محسوب للكورسين,
إيران,جامعة إصفهان التكنولوجية,األمساك -البيئة املائية,ماجستير,1500,دولار,سنوي محسوب للكورسين,
